age,gender,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11,Symptom12,diseases,Description
all,both,Abdominal pain,frequent vomiting,severe thirst,elevated blood sugar levels,mental confusion,shortness of breath,none,none,none,none,none,none,Diabetic Ketoacidosis,"Diabetic ketoacidosis (DKA) is a serious and potentially life-threatening complication of diabetes, most commonly occurring in individuals with type 1 diabetes"
all,both,Pain in an area not directly related to the actual source of pain,none,none,none,none,none,none,none,none,none,none,none,Referred Pain in the Genitalia,"Referred pain in the genitalia is a phenomenon where pain is felt in the genital area, but the source of the pain is actually located elsewhere in the body. This type of pain is often associated with conditions that affect nearby structures, nerves, or organs. It's important to note that referred pain can occur in both men and women"
old adult,both,Difficulty urinating,May be accompanied by swelling or redness,Pain in the pelvic or lower abdominal area,none,none,none,none,none,none,none,none,none,pain proin gentitalia,"If you are experiencing pain or discomfort in the genital area, it could be associated with various conditions such as infections, inflammations, or other medical issues."
old adult,both,Abdominal pain especially after eating,Abdominal swelling,Vomiting.,Diarrhea or constipation,none,none,none,none,none,none,none,none,mesenteric ischemia,"Mesenteric ischemia is a condition characterized by reduced blood flow to the small intestine, usually due to blockages or narrowing of the blood vessels supplying the mesentery (the tissue that attaches the intestines to the abdominal wall). It can lead to serious complications and requires prompt medical attention"
all,both,Severe pain in the abdomen or back,Shock,loss of consciousness,Decreased blood pressure.,none,none,none,none,none,none,none,none,Aortic Aneurysm Rupture,"An aortic aneurysm is a bulging or enlargement of the aorta, the large blood vessel that carries blood from the heart to the rest of the body. Aortic aneurysms can occur in the chest (thoracic) or abdomen (abdominal), and when they rupture, it becomes a life-threatening emergency"
all,both,Pain in the upper left part of the abdomen,Swelling,Fever,May be accompanied by loss of appetite.,none,none,none,none,none,none,none,none,Splenic Infarction,"Splenic infarction occurs when there is a blockage of blood flow to the spleen, leading to tissue damage and, in severe cases, tissue death (infarction)."
middle adult,female,Pelvic pain,Fever,Swelling in the pelvic region,Changes in menstrual cycle,Pain during intercourse.,none,none,none,none,none,none,none,Ovarian Abscess,"Ovarian abscess is a serious medical condition characterized by the formation of a collection of pus within the ovary. It is usually associated with an infection, often arising from pelvic inflammatory disease (PID)"
all,both,Severe fatigue,Jaundice (yellowing of the skin and eyes),Upper abdominal pain,Loss of appetite,Dark urine.,none,none,none,none,none,none,none,Hepatitis,"Hepatitis refers to inflammation of the liver, and it can be caused by various factors, including viral infections, alcohol consumption, and autoimmune diseases. The most common types of viral hepatitis are hepatitis A, B, C, D, and E"
all,both,abdominal pain,weight loss,jaundice,none,none,none,none,none,none,none,none,none,Hepatic Tumor,"Hepatic tumors, or liver tumors, can be either benign or malignant. Malignant liver tumors are often referred to as liver cancer, with the most common type being hepatocellular carcinoma (HCC)."
old adult,both,Painful rash or blisters in a specific area,Itching,Tingling or burning sensation,Fever and general malaise.,none,none,none,none,none,none,none,none,Herpes Zoster,"Herpes zoster, commonly known as shingles, is a viral infection caused by the varicella-zoster virus, which is the same virus responsible for chickenpox. After a person has had chickenpox, the virus can remain dormant in nerve cells and later reactivates, causing shingles."
all,both,Burning stomach pain,Bloating,Nausea,Loss of appetite,Weight loss.,none,none,none,none,none,none,none,Peptic Ulcer Disease,"Peptic ulcer disease involves the formation of open sores or ulcers on the inner lining of the stomach, upper small intestine, or esophagus. These ulcers can result from the erosion of the protective lining by stomach acid"
all,both,Heartburn,Regurgitation,Chest pain,Difficulty swallowing,Chronic cough,none,none,none,none,none,none,none,GERD (Gastroesophageal Reflux Disease),"astroesophageal Reflux Disease (GERD) is a chronic condition where stomach acid flows back into the esophagus, causing irritation and inflammation"
all,both,Pain in the upper right side of the abdomen,Fever,Mental confusion,Jaundice (yellowing of the skin and eyes),none,none,none,none,none,none,none,none,Cholangitis (Inflammation of the Bile Ducts),"Cholangitis is an inflammation of the bile ducts, which are the tubes that carry bile from the liver to the gallbladder and small intestine. This condition can be caused by infections, obstructions, or other issues affecting the bile ducts"
all,both,Pain in the lower right side of the abdomen,Loss of appetite,Nausea and vomiting,Fever.,none,none,none,none,none,none,none,none,Appendicitis,"Appendicitis is a medical condition characterized by inflammation of the appendix, a small pouch attached to the large intestine. It is considered a medical emergency and typically requires surgical intervention."
all,female,Painful and frequent urination,Urgency to urinate,Pelvic pain,none,none,none,none,none,none,none,none,none,Cystitis (Bladder Inflammation),"Cystitis refers to inflammation of the bladder, and it is commonly caused by a bacterial infection"
old adult,both,Abdominal pain,Changes in bowel habits (constipation or diarrhea),Bloating and gas,none,none,none,none,none,none,none,none,none,Irritoble bowel syndrome,"Irritable Bowel Syndrome (IBS) is a common functional gastrointestinal disorder characterized by a combination of symptoms, including abdominal pain, bloating, and changes in bowel habits."
all,both,Abdominal pain,Nausea and vomiting,Loss of appetite.,none,none,none,none,none,none,none,none,none,Gastritis,"Gastritis is an inflammation of the lining of the stomach. It can be acute, occurring suddenly and lasting a short time, or chronic, persisting over a longer period"
all,both,Diarrhea,Abdominal Pain and Cramping,Rectal Bleeding,Weight Loss,Fatigue,Fever,Urgency to Defecate,Joint Pain,none,none,none,none,colitis,"Colitis is a general term that refers to inflammation of the colon (large intestine). There are various types of colitis, including ulcerative colitis and Crohn's disease, which are inflammatory bowel diseases (IBD)"
all,both,Abdominal Pain,Nausea and Vomiting,Fever and Rapid Pulse,Tenderness,Jaundice,none,none,none,none,none,none,none,pancreatitis,"Pancreatitis is the inflammation of the pancreas, an organ located behind the stomach, which plays a key role in digestion and blood sugar regulation"
middle adult,both,Abdominal Pain,Fever and Chills,Changes in Bowel Habits,Nausea and Vomiting,Bloating and Gas,none,none,none,none,none,none,none,diverticolitis,"Diverticulitis is a condition characterized by inflammation or infection of small pouches (diverticula) that can form in the walls of the colon. The condition is often associated with diverticulosis, which is the presence of these pouches without inflammation"
all,both,Diarrhea,Vomiting,Abdominal Pain and Cramps,Fever,Dehydration,none,none,none,none,none,none,none,Gastroenteritis,"astroenteritis is the inflammation of the stomach and intestines, typically caused by viral or bacterial infections. It is commonly characterized by symptoms such as diarrhea, abdominal cramps, nausea, and vomiting"
